address,application_for,ballots_cast,ballots_in_favour,ballots_opposed,close_date,poll_result,response_rate_met,percent_in_favour
463 St Clements Ave,Front Yard Parking,34,30,0,2021-03-05,In Favour,Yes,88.23529411764706
193 Roe Ave,Commercial Boulevard Parking,20,6,10,2021-04-29,Opposed,Yes,30
193 Atlas Ave,Front Yard Parking,47,38,5,2021-04-29,In Favour,Yes,80.85106382978722
78 Ranleigh Ave,Front Yard Parking,22,21,1,2021-05-08,In Favour,Yes,95.45454545454545
42 Warland Ave,Front Yard Parking,59,42,11,2021-04-22,In Favour,Yes,71.1864406779661
28 Glendonwynne Rd,Front Yard Parking,33,23,6,2021-05-07,In Favour,Yes,69.6969696969697
171 Willow Ave (former Toronto),Front Yard Parking,43,33,6,2021-05-14,In Favour,Yes,76.74418604651163
141 Latimer Ave,Front Yard Parking,37,32,0,2021-05-15,In Favour,Yes,86.48648648648648
141 Evelyn Ave,Front Yard Parking,47,30,13,2021-05-13,In Favour,Yes,63.829787234042556
52 Gainsborough Rd,Front Yard Parking,59,54,4,2021-05-19,In Favour,Yes,91.52542372881356
491 Silverthorn Ave,Front Yard Parking,28,18,4,2021-05-20,In Favour,Yes,64.28571428571429
168 Ennerdale Rd,Front Yard Parking,69,63,2,2021-07-22,In Favour,Yes,91.30434782608695
142 Kenilworth Ave,Front Yard Parking,58,54,2,2021-07-16,In Favour,Yes,93.10344827586206
624 Davenport Rd,Front Yard Parking,21,18,2,2021-07-28,Response Rate Not Met,No,85.71428571428571
380 Silverthorn Ave,Front Yard Parking,14,9,4,2021-07-23,Response Rate Not Met,No,64.28571428571429
34 Mountview Ave,Front Yard Parking,41,35,4,2021-08-05,In Favour,Yes,85.36585365853658
2040 Avenue Rd,Commercial Boulevard Parking,17,2,12,2021-07-24,Opposed,Yes,11.76470588235294
17 Rockwell Ave,Front Yard Parking,7,5,2,2021-08-07,Response Rate Not Met,No,71.42857142857143
362 Merton St,Front Yard Parking,39,32,0,2021-08-19,In Favour,Yes,82.05128205128204
102 Sammon Ave,Front Yard Parking,36,31,1,2021-08-11,In Favour,Yes,86.11111111111111
1 Hurndale Ave,Front Yard Parking,17,17,0,2021-08-11,In Favour,Yes,100
3 Selkirk St,Front Yard Parking,8,8,0,2021-09-03,In Favour,Yes,100
64 Banff Rd,Front Yard Parking,43,36,3,2021-08-13,In Favour,Yes,83.72093023255815
68 Hounslow Heath Rd,Front Yard Parking,45,37,0,2021-09-04,In Favour,Yes,82.22222222222221
40 Danesbury Ave,Front Yard Parking,9,7,0,2021-08-18,In Favour,Yes,77.77777777777779
164 Castlefield Ave,Front Yard Parking,38,35,0,2021-09-02,In Favour,Yes,92.10526315789474
133 Bingham Ave,Front Yard Parking,73,52,7,2021-08-21,In Favour,Yes,71.23287671232876
104 Gothic Ave,Front Yard Parking,62,54,4,2021-09-29,In Favour,Yes,87.09677419354838
51 Hambly Ave,Front Yard Parking,75,71,0,2021-08-27,In Favour,Yes,94.66666666666667
78 Alberta Ave,Front Yard Parking,9,9,0,2021-08-28,In Favour,Yes,100
399 St Clements Ave,Front Yard Parking,36,33,0,2021-09-11,In Favour,Yes,91.66666666666666
30 Glen Manor Dr,Front Yard Parking,29,22,0,2021-09-08,In Favour,Yes,75.86206896551724
30 Crestview Rd,Front Yard Parking,15,14,0,2021-09-30,In Favour,Yes,93.33333333333333
281 Durie St,Front Yard Parking,52,41,2,2021-10-16,In Favour,Yes,78.84615384615384
264 Blackthorn Ave,Front Yard Parking,33,22,9,2021-09-22,In Favour,Yes,66.66666666666666
493 Rushton Rd,Front Yard Parking,56,50,4,2021-10-20,In Favour,Yes,89.28571428571429
166 Oakmount Rd,Front Yard Parking,30,28,2,2021-10-16,In Favour,Yes,93.33333333333333
156 Alexandra Blvd,Front Yard Parking,18,14,0,2021-10-20,In Favour,Yes,77.77777777777779
125 Pinewood Ave,Front Yard Parking,26,26,0,2021-10-21,In Favour,Yes,100
14 Lessard Ave,Front Yard Parking,52,47,2,2021-10-28,In Favour,Yes,90.38461538461539
21 Scarboro Beach Blvd,Front Yard Parking,23,18,1,2021-10-29,In Favour,Yes,78.26086956521739
66 Montcalm Ave,Front Yard Parking,30,24,0,2021-11-05,In Favour,Yes,80
70 Methuen Ave,Front Yard Parking,69,63,1,2021-11-20,In Favour,Yes,91.30434782608695
238 Belsize Dr,Front Yard Parking,45,39,0,2021-11-19,In Favour,Yes,86.66666666666667
37 Springdale Blvd,Front Yard Parking,42,34,2,2021-11-26,In Favour,Yes,80.95238095238095
528 Millwood Rd,Front Yard Parking,51,43,2,2021-11-17,In Favour,Yes,84.31372549019608
193 Kane Ave,Front Yard Parking,15,13,2,2021-11-24,In Favour,Yes,86.66666666666667
17 Rockwell Ave,Front Yard Parking,17,17,0,2021-10-27,In Favour,Yes,100
22 Beresford Ave,Front Yard Parking,30,23,5,2021-12-01,In Favour,Yes,76.66666666666667
50 Shields Ave,Front Yard Parking,36,32,0,2021-12-03,In Favour,Yes,88.88888888888889
221 Gledhill Ave,Front Yard Parking,41,27,12,2021-12-04,In Favour,Yes,65.85365853658537
180 Glenholme Ave,Front Yard Parking,50,32,6,2021-12-16,In Favour,Yes,64
52 McNairn Ave,Front Yard Parking,28,25,1,2021-12-10,In Favour,Yes,89.28571428571429
131 Parkhurst Blvd,Front Yard Parking,45,41,2,2021-12-15,In Favour,Yes,91.11111111111111
9 Briarcroft Rd,Front Yard Parking,38,37,0,2021-12-17,In Favour,Yes,97.36842105263158
4 Ladykirk Ave,Front Yard Parking,18,17,0,2021-12-22,In Favour,Yes,94.44444444444444
812 Sammon Ave,Front Yard Parking,42,33,0,2021-12-23,In Favour,Yes,78.57142857142857
621 Millwood Rd,Front Yard Parking,21,15,6,2021-12-24,In Favour,Yes,71.42857142857143
285 Gainsborough Rd,Front Yard Parking,63,55,4,2021-12-30,In Favour,Yes,87.3015873015873
40 Evelyn Ave,Front Yard Parking,38,36,0,2022-01-05,In Favour,Yes,94.73684210526315
94 Scarboro Beach Blvd,Front Yard Parking,77,72,3,2022-01-06,In Favour,Yes,93.5064935064935
58 Clendenan Ave,Front Yard Parking,11,10,0,2022-01-12,In Favour,Yes,90.9090909090909
41 Latimer Ave,Front Yard Parking,51,42,5,2022-01-14,In Favour,Yes,82.35294117647058
74 Dynevor Rd,Front Yard Parking,34,26,4,2022-01-08,In Favour,Yes,76.47058823529412
76 Howick Ave,Front Yard Parking,31,25,0,2022-01-15,In Favour,Yes,80.64516129032258
48 Norval St,Front Yard Parking,17,14,2,2022-02-16,Response Rate Not Met,No,82.35294117647058
146 Silver Birch Ave,Front Yard Parking,40,34,5,2022-02-24,In Favour,Yes,85
349 Manor Rd E,Front Yard Parking,29,23,3,2022-03-02,In Favour,Yes,79.3103448275862
217 Clendenan Ave,Front Yard Parking,52,49,0,2022-03-05,In Favour,Yes,94.23076923076923
93 Malvern Ave,Front Yard Parking,53,34,15,2022-02-11,In Favour,Yes,64.15094339622641
39 Crewe Ave,Front Yard Parking,41,37,0,2022-02-16,In Favour,Yes,90.2439024390244
32 Alberta Ave,Front Yard Parking,53,40,2,2022-02-26,In Favour,Yes,75.47169811320755
1274 Kennedy Rd,Commercial Boulevard Parking,7,2,3,2022-03-09,Response Rate Not Met,No,28.57142857142857
25 Kenora Cres,Front Yard Parking,36,32,0,2022-03-24,In Favour,Yes,88.88888888888889
611 Hillsdale Ave E,Front Yard Parking,27,26,1,2022-04-07,In Favour,Yes,96.29629629629629
133 Lee Ave,Front Yard Parking,86,77,1,2022-04-02,In Favour,Yes,89.53488372093024
382 Elm Rd,Front Yard Parking,10,10,0,2022-04-06,In Favour,Yes,100
379 Durie St,Front Yard Parking,64,47,15,2022-05-20,In Favour,Yes,73.4375
277 Old Orchard Grv,Front Yard Parking,72,64,2,2022-05-04,In Favour,Yes,88.88888888888889
297 Brookdale Ave,Front Yard Parking,39,37,1,2022-05-11,In Favour,Yes,94.87179487179486
263 Robina Ave,Front Yard Parking,38,31,5,2022-05-21,In Favour,Yes,81.57894736842105
57 Jedburgh Rd,Front Yard Parking,37,30,2,2022-05-13,In Favour,Yes,81.08108108108108
35 Craydon Ave,Front Yard Parking,50,42,8,2022-05-25,In Favour,Yes,84
511 Millwood Rd,Front Yard Parking,39,36,0,2022-05-28,In Favour,Yes,92.3076923076923
14 Wrenson Rd,Front Yard Parking,24,20,4,2022-06-01,In Favour,Yes,83.33333333333334
152 Stibbard Ave,Front Yard Parking,38,28,9,2022-06-08,In Favour,Yes,73.68421052631578
11 Corley Ave,Front Yard Parking,43,41,1,2022-06-04,In Favour,Yes,95.34883720930233
56 Carrick Ave,Front Yard Parking,23,22,1,2022-06-11,In Favour,Yes,95.65217391304348
385 Willard Ave,Front Yard Parking,47,44,0,2022-06-15,In Favour,Yes,93.61702127659575
445 Armadale Ave,Front Yard Parking,50,32,11,2022-06-18,In Favour,Yes,64
215 Glenholme Ave,Front Yard Parking,42,41,0,2022-06-29,In Favour,Yes,97.61904761904762
205 Bingham Ave,Front Yard Parking,79,66,10,2022-07-01,In Favour,Yes,83.54430379746836
167 Brookside Dr,Front Yard Parking,31,27,1,2022-07-06,In Favour,Yes,87.09677419354838
103 Wells Hill Ave,Front Yard Parking,13,13,0,2022-07-07,In Favour,Yes,100
41 Willow Ave (former Toronto),Front Yard Parking,38,27,5,2022-06-24,In Favour,Yes,71.05263157894737
241 Quebec Ave,Front Yard Parking,33,29,4,2022-07-09,In Favour,Yes,87.87878787878788
49 Lee Ave,Front Yard Parking,18,18,0,2022-07-16,In Favour,Yes,100
347 Lumsden Ave,Front Yard Parking,29,17,0,2022-07-27,In Favour,Yes,58.620689655172406
253 Oakwood Ave,Front Yard Parking,20,15,5,2022-07-28,In Favour,Yes,75
323 Armadale Ave,Front Yard Parking,22,20,0,2022-08-04,In Favour,Yes,90.9090909090909
164 Waverley Rd,Front Yard Parking,63,58,3,2022-08-20,In Favour,Yes,92.06349206349206
26 Wiley Ave,Front Yard Parking,73,68,0,2022-08-27,In Favour,Yes,93.15068493150685
152 Hammersmith Ave,Front Yard Parking,64,44,13,2022-09-03,In Favour,Yes,68.75
93 Greenlaw Ave,Front Yard Parking,14,10,0,2022-09-07,Response Rate Not Met,No,71.42857142857143
93 Morningside Ave (former Toronto),Front Yard Parking,21,20,1,2022-09-17,In Favour,Yes,95.23809523809523
141 Tyrrel Ave,Front Yard Parking,70,50,12,2022-10-07,In Favour,Yes,71.42857142857143
291 Lauder Ave,Front Yard Parking,29,27,1,2022-10-19,In Favour,Yes,93.10344827586206
496 Atlas Ave,Front Yard Parking,15,11,4,2022-10-21,In Favour,Yes,73.33333333333333
17 Northcliffe Blvd,Front Yard Parking,47,35,6,2022-10-22,In Favour,Yes,74.46808510638297
18 Wellwood Ave,Front Yard Parking,43,43,0,2022-10-26,In Favour,Yes,100
35 Brumell Ave,Front Yard Parking,53,39,4,2022-11-10,In Favour,Yes,73.58490566037736
21 Selwood Ave,Front Yard Parking,18,11,4,2022-11-16,In Favour,Yes,61.111111111111114
543 Donlands Ave,Front Yard Parking,30,23,2,2022-11-19,In Favour,Yes,76.66666666666667
171 Glebemount Ave,Front Yard Parking,12,7,0,2022-11-24,In Favour,Yes,58.333333333333336
200 Glebeholme Blvd,Front Yard Parking,59,52,4,2022-11-24,In Favour,Yes,88.13559322033898
12 Oak Park Ave,Front Yard Parking,13,9,0,2022-12-10,In Favour,Yes,69.23076923076923
145 Roselawn Ave,Front Yard Parking,44,39,0,2022-12-08,In Favour,Yes,88.63636363636364
302 Manor Rd E,Front Yard Parking,48,48,0,2022-12-22,In Favour,Yes,100
351 Sammon Ave,Front Yard Parking,41,38,0,2022-12-29,In Favour,Yes,92.6829268292683
87 Hanna Rd,Front Yard Parking,28,19,4,2023-02-22,In Favour,Yes,67.85714285714286
92 Varsity Rd,Front Yard Parking,11,8,1,2023-02-25,In Favour,Yes,72.72727272727273
303 Wychwood Ave,Front Yard Parking,29,11,16,2023-02-24,Opposed,Yes,37.93103448275862
210 Milverton Blvd,Front Yard Parking,39,36,0,2023-03-03,In Favour,Yes,92.3076923076923
270 Springdale Blvd,Front Yard Parking,60,56,1,2023-03-04,In Favour,Yes,93.33333333333333
354 Lauder Ave,Front Yard Parking,81,72,0,2023-03-09,In Favour,Yes,88.88888888888889
513 Rushton Rd,Front Yard Parking,28,27,0,2023-03-08,In Favour,Yes,96.42857142857143
92 Donlands Ave,Front Yard Parking,21,15,5,2023-03-11,In Favour,Yes,71.42857142857143
259 Eastwood Rd,Front Yard Parking,22,21,0,2023-03-15,In Favour,Yes,95.45454545454545
10 Silver Birch Ave,Front Yard Parking,25,25,0,2023-03-16,In Favour,Yes,100
236 Glenholme Ave,Front Yard Parking,22,20,0,2023-03-18,In Favour,Yes,90.9090909090909
114 High Park Ave,Front Yard Parking,25,23,1,2023-03-29,In Favour,Yes,92
573 Merton St,Front Yard Parking,50,37,3,2023-03-29,In Favour,Yes,74
158 Ardagh St,Front Yard Parking,8,8,0,2023-03-30,In Favour,Yes,100
64 Rhodes Ave,Front Yard Parking,32,28,0,2023-03-30,In Favour,Yes,87.5
121 Hillsdale Ave W,Front Yard Parking,29,17,6,2023-03-31,In Favour,Yes,58.620689655172406
35 Crang Ave,Front Yard Parking,68,59,2,2023-04-01,In Favour,Yes,86.76470588235294
120 Rainsford Rd,Front Yard Parking,43,30,11,2023-04-05,In Favour,Yes,69.76744186046511
497 Winona Dr,Front Yard Parking,34,33,0,2023-04-05,In Favour,Yes,97.05882352941177
172 Pacific Ave,Front Yard Parking,71,37,27,2023-04-06,In Favour,Yes,52.112676056338024
13 Methuen Ave,Front Yard Parking,42,33,9,2023-04-06,In Favour,Yes,78.57142857142857
77 Kane Ave,Front Yard Parking,35,29,0,2023-04-12,In Favour,Yes,82.85714285714286
47 Belsize Dr,Front Yard Parking,37,25,3,2023-04-13,In Favour,Yes,67.56756756756756
108 Wineva Ave,Front Yard Parking,52,43,3,2023-04-14,In Favour,Yes,82.6923076923077
227 Glendonwynne Rd,Front Yard Parking,24,22,0,2023-04-15,In Favour,Yes,91.66666666666666
10 Crown Park Rd,Front Yard Parking,21,19,0,2023-04-15,In Favour,Yes,90.47619047619048
159 Brookside Ave,Front Yard Parking,66,61,0,2023-04-19,In Favour,Yes,92.42424242424242
260 Briar Hill Ave,Front Yard Parking,37,27,6,2023-04-20,In Favour,Yes,72.97297297297297
70 Moberly Ave,Front Yard Parking,60,51,4,2023-04-20,In Favour,Yes,85
80 Maclean Ave,Front Yard Parking,31,30,0,2023-04-21,In Favour,Yes,96.7741935483871
122 Donlea Dr,Front Yard Parking,40,37,0,2023-04-21,In Favour,Yes,92.5
564 Caledonia Rd,Front Yard Parking,33,25,2,2023-04-26,In Favour,Yes,75.75757575757575
5 Cambrai Ave,Front Yard Parking,30,19,9,2023-04-28,In Favour,Yes,63.33333333333333
44 Benlamond Ave,Front Yard Parking,61,52,1,2023-05-11,In Favour,Yes,85.24590163934425
327 Silverthorn Ave,Front Yard Parking,30,26,1,2023-05-17,In Favour,Yes,86.66666666666667
276 Broadway Ave,Front Yard Parking,37,32,3,2023-05-06,In Favour,Yes,86.48648648648648
6 Rambert Cres,Front Yard Parking,26,25,1,2023-05-13,In Favour,Yes,96.15384615384616
439 Annette St,Front Yard Parking,6,4,2,2023-05-12,Response Rate Not Met,No,66.66666666666666
62 Wayland Ave,Front Yard Parking,42,28,9,2023-05-13,In Favour,Yes,66.66666666666666
175 Winona Dr,Front Yard Parking,35,33,1,2023-05-19,In Favour,Yes,94.28571428571428
4 Epsom Ave,Front Yard Parking,27,22,2,2023-05-20,In Favour,Yes,81.48148148148148
167A Wheeler Ave,Front Yard Parking,51,50,0,2023-05-31,In Favour,Yes,98.0392156862745
67 Harris Ave,Front Yard Parking,34,29,0,2023-06-03,In Favour,Yes,85.29411764705883
77 Poplar Plains Cres,Front Yard Parking,29,17,12,2023-06-16,In Favour,Yes,58.620689655172406
604 Windermere Ave,Front Yard Parking,86,77,0,2023-06-30,In Favour,Yes,89.53488372093024
344 Beresford Ave,Front Yard Parking,43,37,4,2023-07-12,In Favour,Yes,86.04651162790698
49 Dixon Ave,Front Yard Parking,24,22,0,2023-07-15,In Favour,Yes,91.66666666666666
65 Springmount Ave (former Toronto),Front Yard Parking,34,23,6,2023-07-19,In Favour,Yes,67.64705882352942
16 Bradley Ave,Front Yard Parking,24,19,0,2023-07-26,In Favour,Yes,79.16666666666666
417 Oakwood Ave,Front Yard Parking,16,16,0,2023-07-29,In Favour,Yes,100
575 Arlington Ave,Front Yard Parking,17,17,0,2023-08-09,In Favour,Yes,100
392 St Germain Ave,Front Yard Parking,67,60,2,2023-08-18,In Favour,Yes,89.55223880597015
256 Gledhill Ave,Front Yard Parking,39,32,4,2023-08-19,In Favour,Yes,82.05128205128204
108 Mayfield Ave,Front Yard Parking,21,19,1,2023-08-26,In Favour,Yes,90.47619047619048
247 Arlington Ave,Front Yard Parking,31,26,4,2023-09-02,In Favour,Yes,83.87096774193549
264 Beech Ave,Front Yard Parking,39,24,10,2023-09-02,In Favour,Yes,61.53846153846154
1 Hamstead Ave,Front Yard Parking,32,31,1,2023-09-09,In Favour,Yes,96.875
63 Hammersmith Ave,Front Yard Parking,68,34,25,2023-08-26,Opposed,Yes,50
15 Douglas Ave,Front Yard Parking,37,34,0,2023-09-21,In Favour,Yes,91.8918918918919
27 Wells Hill Ave,Front Yard Parking,26,25,0,2023-09-23,In Favour,Yes,96.15384615384616
21 Wallington Ave,Front Yard Parking,34,34,0,2023-09-29,In Favour,Yes,100
55 Hillary Ave,Front Yard Parking,10,10,0,2023-10-19,In Favour,Yes,100
106 Pine Crest Rd,Front Yard Parking,31,26,5,2023-10-27,In Favour,Yes,83.87096774193549
135 Prescott Ave,Front Yard Parking,28,26,2,2023-10-28,Response Rate Not Met,No,92.85714285714286
5 Barrie Ave,Front Yard Parking,30,27,2,2023-11-10,In Favour,Yes,90
90 Laws St,Front Yard Parking,39,30,2,2023-11-30,In Favour,Yes,76.92307692307693
307 Rushton Rd,Front Yard Parking,32,1,28,2023-11-18,Opposed,Yes,3.125
23 Linnsmore Cres,Front Yard Parking,29,22,0,2023-11-18,In Favour,Yes,75.86206896551724
44 Sunnybrae Cres,Front Yard Parking,20,20,0,2023-11-22,In Favour,Yes,100
632 Rushton Rd,Front Yard Parking,20,17,2,2023-11-22,In Favour,Yes,85
417 Armadale Ave,Front Yard Parking,43,41,0,2023-12-07,In Favour,Yes,95.34883720930233
51 Oak Park Ave,Front Yard Parking,28,28,0,2023-12-06,In Favour,Yes,100
40 Laws St,Front Yard Parking,53,48,1,2023-12-20,In Favour,Yes,90.56603773584906
572 Windermere Ave,Front Yard Parking,44,42,0,2023-12-16,In Favour,Yes,95.45454545454545
31 Nelles Ave,Front Yard Parking,40,37,2,2023-12-29,In Favour,Yes,92.5
250 Glen Manor Dr W,Front Yard Parking,3,3,0,2024-01-06,In Favour,Yes,100
66 Hiawatha Rd,Front Yard Parking,69,64,1,2024-02-01,In Favour,Yes,92.7536231884058
122 Hilton Ave,Front Yard Parking,48,37,8,2024-02-28,In Favour,Yes,77.08333333333334
68 Humewood Dr,Front Yard Parking,10,5,2,2024-03-02,Opposed,Yes,50
470 Clendenan Ave,Front Yard Parking,61,51,9,2024-04-04,In Favour,Yes,83.60655737704919
48 Dilworth Cres,Front Yard Parking,43,25,2,2024-03-23,In Favour,Yes,58.139534883720934
14 Mc Cord Rd,Front Yard Parking,40,36,0,2024-03-29,In Favour,Yes,90
155 Humewood Dr,Front Yard Parking,32,30,2,2024-04-13,In Favour,Yes,93.75
58 Lyndhurst Ave,Front Yard Parking,1,1,0,2024-04-20,Response Rate Not Met,No,100
25 Taunton Rd,Front Yard Parking,49,48,0,2024-04-24,In Favour,Yes,97.95918367346938
76 Mayfield Ave,Front Yard Parking,41,38,2,2024-05-11,In Favour,Yes,92.6829268292683
129 Eileen Ave,Front Yard Parking,34,30,0,2024-05-15,In Favour,Yes,88.23529411764706
80 Brookside Dr,Front Yard Parking,43,39,3,2024-05-23,In Favour,Yes,90.69767441860465
52 Guestville Ave,Front Yard Parking,26,23,3,2024-05-25,In Favour,Yes,88.46153846153845
45 Roslin Ave,Front Yard Parking,6,6,0,2024-05-30,In Favour,Yes,100
111 Brookdale Ave,Front Yard Parking,50,50,0,2024-06-14,In Favour,Yes,100
52 Leuty Ave,Front Yard Parking,28,25,3,2024-06-07,In Favour,Yes,89.28571428571429
42 Holwood Ave,Front Yard Parking,30,30,0,2024-06-12,In Favour,Yes,100
150 Lascelles Blvd,Front Yard Parking,53,51,2,2024-06-19,In Favour,Yes,96.22641509433963
26 Maclean Ave,Front Yard Parking,15,11,4,2024-06-29,In Favour,Yes,73.33333333333333
24 Thurston Rd,Front Yard Parking,53,52,1,2024-07-03,In Favour,Yes,98.11320754716981
527 Windermere Ave,Front Yard Parking,27,24,1,2024-07-27,In Favour,Yes,88.88888888888889
89 Gainsborough Rd,Front Yard Parking,8,8,0,2024-07-27,In Favour,Yes,100
20 Venn Cres,Front Yard Parking,19,13,0,2024-08-10,In Favour,Yes,68.42105263157895
14 Roseneath Gdns,Front Yard Parking,46,32,2,2024-08-10,In Favour,Yes,69.56521739130434
154 Roslin Ave,Front Yard Parking,33,32,0,2024-08-29,In Favour,Yes,96.96969696969697
107 Humbercrest Blvd,Front Yard Parking,40,32,4,2024-08-30,In Favour,Yes,80
24 Castlewood Rd,Front Yard Parking,34,32,0,2024-09-19,In Favour,Yes,94.11764705882352
